idx	char	level	meanings	on_yomi	fanout
516	便	N3	Convenience; Facility; Excrement; Feces	べん/びん	
517	硬	N2	Stiff; Hard	こう	
518	匚	COMP	Box-on-side Enclosure Radical (no. 22)	ほう	15
519	区	N2	Ward; District	く/おう/こう	
520	匹	N2	Equal; Head; Counter For Small Animals; Roll Of Cloth	ひつ	
521	灬	COMP	Fire; Fire Radical (no. 86)	ひょう/か	11
522	点	N3	Spot; Point; Mark; Speck	てん	
523	黒	N4	Black	こく	
524	鳥	N4	Bird; Chicken	ちょう	
525	鳴	N3	Chirp; Cry; Bark; Sound	めい	
526	聿	COMP	Brush; Finally; Self; Relate	いち/いつ	4
527	書	N5	Write	しょ	
528	且	N1	Moreover; Also; Furthermore	しょ/そ/しょう	5
529	査	N2	Investigate	さ	
530	組	N3	Association; Braid; Plait; Construct	そ	
531	助	N3	Help; Rescue; Assist	じょ	
532	龹	COMP	(bound component)		3
533	勝	N3	Victory; Win; Prevail; Excel	しょう	
534	冖	COMP	Wa-shaped Crown Radical (no. 14)	べき	58
535	軍	N2	Army; Force; Troops; War	ぐん	
536	運	N4	Carry; Luck; Destiny; Fate	うん	
537	写	N4	Copy; Be Photographed; Describe	しゃ/じゃ	
538	帯	N2	Sash; Belt; Obi; Zone	たい	
539	畳	N2	Tatami Mat; Counter For Tatami Mats; Fold; Shut Up	じょう/ちょう	
540	⺍	COMP	(bound component)		9
541	学	N5	Study; Learning; Science	がく	
542	営	N2	Occupation; Camp; Perform; Build	えい	
543	労	N3	Labor; Thank For; Reward For; Toil	ろう	
544	覚	N3	Memorize; Learn; Remember; Awake	かく	
545	栄	N2	Flourish; Prosperity; Honor; Glory	えい/よう	
546	宀	COMP	Shaped Crown; Katakana U Radical (no. 40)	べん/めん	35
547	安	N4	Relax; Cheap; Low; Quiet	あん	
548	容	N3	Contain; Form; Looks	よう	
549	演	N3	Performance; Act; Play; Render	えん	
550	宅	N3	Home; House; Residence; Our House	たく	
551	字	N4	Character; Letter; Word; Section Of Village	じ	
552	完	N3	Perfect; Completion; End	かん	
553	院	N4	Inst.; Institution; Temple; Mansion	いん	
554	宿	N3	Inn; Lodging; Relay Station; Dwell	しゅく	
555	宇	N2	Eaves; Roof; House; Heaven	う	
556	奥	N2	Heart; Interior	おう	
557	宝	N2	Treasure; Wealth; Valuables	ほう	
558	腕	N2	Arm; Ability; Talent	わん	
559	溶	N2	Melt; Dissolve; Thaw	よう	
560	𡗗	COMP	(bound component)		3
561	実	N3	Reality; Truth	じつ/しつ	
562	春	N4	Springtime; Spring (season)	しゅん	
563	棒	N2	Rod; Stick; Cane; Pole	ぼう	
564	豕	COMP	Pig; Hog; Pig Radical (no. 152)	し	2
565	家	N4	House; Home; Family; Professional	か/け	
566	⺁	COMP	(bound component)		21
567	反	N3	Anti-	はん/ほん/たん	
568	販	N2	Marketing; Sell; Trade	はん	
569	返	N3	Return; Answer; Fade; Repay	へん	
570	版	N2	Printing Block; Printing Plate; Edition; Impression	はん	
571	坂	N2	Slope; Incline; Hill	はん	
572	板	N2	Plank; Board; Plate; Stage	はん/ばん	
573	丂	COMP	Obstruction Of Breath (qi) As It Seeks Release; Variant Of Other Characters	こう	2
574	考	N4	Consider; Think Over	こう	
575	号	N3	Nickname; Number; Item; Title	ごう	
576	凵	COMP	Open Box Enclosure; Open Box Radical (no. 17)	かん	8
577	画	N4	Brush-stroke; Picture	が/かく/え	
578	歯	N3	Tooth; Cog	し	
579	彡	COMP	Three; Hair Ornament; Short Hair Or Fur Radical (no. 59)	さん/せん	5
580	参	N3	Nonplussed; Three (in Documents); Going; Coming	さん/しん	
581	珍	N2	Rare; Curious; Strange	ちん	
582	士	N1	Gentleman; Scholar; Samurai; Samurai Radical (no. 33)	し	9
583	売	N4	Sell	ばい	
584	続	N3	Continue; Series; Sequel	ぞく/しょく/こう	
585	仕	N4	Attend; Doing; Official; Serve	し/じ	
586	読	N5	Read	どく/とく/とう	
587	喜	N3	Rejoice; Take Pleasure In	き	
588	誌	N2	Document; Records	し	
589	詰	N2	Packed; Close; Pressed; Reprove	きつ/きち	
590	矢	N1	Dart; Arrow	し	6
591	知	N4	Know; Wisdom	ち	
592	族	N4	Tribe; Family	ぞく	
593	医	N4	Doctor; Medicine	い	
594	𠂇	COMP	(bound component)		39
595	在	N3	Exist; Outskirts; Suburbs; Located In	ざい	
596	有	N4	Possess; Have; Exist; Happen	ゆう/う	
597	存	N3	Exist; Suppose; Be Aware Of; Believe	そん/ぞん	
598	右	N5	Right	う/ゆう	
599	友	N5	Friend	ゆう	
600	左	N5	Left	さ/しゃ	
601	抜	N3	Slip Out; Extract; Pull Out; Pilfer	ばつ/はつ/はい	
602	布	N2	Linen; Cloth; Spread; Distribute	ふ	
603	希	N2	Hope; Beg; Request; Pray	き/け	
604	怖	N3	Dreadful; Be Frightened; Fearful	ふ/ほ	
605	髪	N3	Hair Of The Head	はつ	
606	才	N3	Genius; Years Old; Cubic Shaku	さい	
607	財	N3	Property; Money; Wealth; Assets	ざい/さい/ぞく	
608	材	N2	Lumber; Log; Timber; Wood	ざい	
609	閉	N3	Closed; Shut	へい	
610	灰	N2	Ashes; Puckery Juice; Cremate	かい	
611	炭	N2	Charcoal; Coal	たん	
612	寸	N1	Measurement; Tenth Of A Shaku; A Little; Small	すん	19
613	対	N3	Vis-a-vis; Opposite; Even; Equal	たい/つい	
614	団	N2	Group; Association	だん/とん	
615	村	N2	Village; Town	そん	
616	付	N3	Adhere; Attach; Refer To; Append	ふ	
617	導	N2	Guidance; Leading; Conduct; Usher	どう	
618	守	N3	Guard; Protect; Defend; Obey	しゅ/す	
619	専	N2	Specialty; Exclusive; Mainly; Solely	せん	
620	寺	N2	Buddhist Temple	じ	
621	時	N5	Time; Hour	じ	
622	持	N4	Hold; Have	じ	
623	特	N4	Special	とく	
624	勿	COMP	Not; Must Not; Do Not; Be Not	もち/ぶつ/ぼつ	5
625	物	N4	Thing; Object; Matter	ぶつ/もつ	
626	易	N3	Easy; Ready To; Simple; Fortune-telling	えき/い	
627	昜	COMP	Open; Sun	よう	3
628	場	N4	Location; Place	じょう/ちょう	
629	陽	N3	Sunshine; Yang Principle; Positive; Male	よう	
630	湯	N2	Hot Water; Bath; Hot Spring	とう	
631	壬	COMP	9th Calendar Sign	にん/じん/い	2
632	任	N3	Responsibility; Duty; Term; Entrust To	にん	
633	歹	COMP	Bare Bone; Bad; Wrong; Death Radical (n. 78)	がつ/がち/たい	4
634	死	N4	Death; Die	し	
635	列	N3	File; Row; Rank; Tier	れつ/れ	
636	例	N3	Example; Custom; Usage; Precedent	れい	
637	㠯	COMP	(bound component)		3
638	官	N3	Bureaucrat; The Government; Organ	かん	
639	丁	N1	Street; Ward; Town; Counter For Guns, Tools, Leaves Or Cakes Of Something	ちょう/てい/ちん	12
640	打	N3	Strike; Hit; Knock; Pound	だ/だあす	
641	町	N4	Town; Village; Block; Street	ちょう	
642	停	N2	Halt; Stopping	てい	
643	貯	N2	Savings; Store; Lay In; Keep	ちょ	
644	灯	N2	Lamp; A Light; Light; Counter For Lights	とう	
645	夂	COMP	Late; Delayed; Winter Radical (no. 34)	ち	24
646	各	N2	Each; Every; Either	かく	
647	格	N3	Status; Rank; Capacity; Character	かく/こう/きゃく	
648	優	N3	Tenderness; Excel; Surpass; Actor	ゆう/う	
649	夜	N4	Night; Evening	や	
650	客	N3	Guest; Visitor; Customer; Client	きゃく/かく	
651	降	N3	Descend; Precipitate; Fall; Surrender	こう/ご	
652	夏	N4	Summer	か/が/げ	
653	略	N2	Abbreviation; Omission; Outline; Shorten	りゃく	
654	絡	N2	Entwine; Coil Around; Get Caught In	らく	
655	液	N2	Fluid; Liquid; Juice; Sap	えき	
656	麦	N2	Barley; Wheat	ばく	
657	亦	N1	Also; Again	えき/やく	4
658	変	N3	Unusual; Change; Strange	へん	
659	湾	N2	Gulf; Bay; Inlet	わん	
660	恋	N2	Romance; In Love; Yearn For; Miss	れん	
661	龺	COMP	(bound component)		2
662	朝	N4	Morning; Dynasty; Regime; Epoch	ちょう	
663	乾	N2	Drought; Dry; Dessicate; Drink Up	かん/けん	
664	兀	COMP	High & Level; Lofty; Bald; Dangerous	こつ	8
665	西	N5	West; Spain	せい/さい/す	
666	腰	N2	Loins; Hips; Waist; Low Wainscoting	よう	
667	覀	COMP	Variant Of Radical 146		2
668	要	N3	Need; Main Point; Essence; Pivot	よう	
669	煙	N3	Smoke	えん	
670	罒	COMP	Net Radical Variant (no. 122)	もう/ぼう	5
671	置	N3	Placement; Put; Set; Deposit	ち	
672	買	N4	Buy	ばい	
673	署	N2	Signature; Govt Office; Police Station	しょ	
674	罪	N3	Guilt; Sin; Crime; Fault	ざい	
675	尸	COMP	Corpse; Remains; Flag Radical (no. 44)	し	14
676	局	N3	Bureau; Board; Office; Affair	きょく	
677	遅	N3	Slow; Late; Back; Later	ち	
678	居	N3	Reside; To Be; Exist; Live With	きょ/こ	
679	届	N2	Deliver; Reach; Arrive; Report	かい	
680	掘	N2	Dig; Delve; Excavate	くつ	
681	刷	N2	Printing; Print; Brush	さつ	
682	泥	N2	Mud; Mire; Adhere To; Be Attached To	でい/ない/で	
683	兑	COMP	(bound component)		3
684	税	N2	Tax; Duty	ぜい	
685	説	N3	Opinion; Theory; Explanation; Rumor	せつ/ぜい	
686	鋭	N2	Pointed; Sharpness; Edge; Weapon	えい	
687	丬	COMP	Half Of Tree Trunk; Rad. No. 90		3
688	状	N3	Status Quo; Conditions; Circumstances; Form	じょう	
689	将	N2	Leader; Commander; General; Admiral	しょう/そう	
690	廴	COMP	Long Stride Or Stretching Radical (no. 54)	いん	3
691	建	N4	Build	けん/こん	
692	延	N2	Prolong; Stretching	えん	
693	穴	N1	Hole; Aperture; Slit; Cave	けつ	4
694	空	N4	Empty; Sky; Void; Vacant	くう	
695	究	N4	Research; Study	きゅう/く	
696	突	N3	Stab; Protruding; Thrust; Pierce	とつ/か	
697	窓	N3	Window; Pane	そう/す	
698	弗	COMP	Dollar	ふつ/ほち	2
699	費	N3	Expense; Cost; Spend; Consume	ひ	
700	沸	N2	Seethe; Boil; Ferment; Uproar	ふつ	
701	刀	N1	Sword; Saber; Knife	とう	14
702	切	N4	Cut; Cutoff; Be Sharp	せつ/さい	
703	辺	N2	Environs; Boundary; Border; Vicinity	へん	
704	券	N2	Ticket	けん	
705	召	N2	Seduce; Call; Send For; Wear	しょう	
706	招	N3	Beckon; Invite; Summon; Engage	しょう	
707	紹	N2	Introduce; Inherit; Help	しょう	
708	照	N2	Illuminate; Shine; Compare; Bashful	しょう	
709	衤	COMP	Clothes; Clothing Radical (no. 145		4
710	初	N3	First Time; Beginning	しょ	
711	被	N2	Incur; Cover; Veil; Brood Over	ひ	
712	甫	N1	For The First Time; Not Until	ほ/ふ	3
713	補	N2	Supplement; Supply; Make Good; Offset	ほ	
714	捕	N3	Catch; Capture	ほ	
715	丩	COMP	To Join Or Connect The Vine	きゅう	2
716	収	N3	Income; Obtain; Reap; Pay	しゅう	
717	叫	N2	Shout; Exclaim; Yell	きょう	
718	可	COMP	Can; Passable; Mustn't; Should Not	か/こく	5
719	何	N5	What	か	
720	河	N2	River	か	
721	寄	N3	Draw Near; Stop In; Bring Near; Gather	き	
722	𢆉	COMP	(bound component)		3
723	南	N5	South	なん/な	
724	幸	N3	Happiness; Blessing; Fortune	こう	
725	龰	COMP	(bound component)		9
726	足	N4	Leg; Foot; Be Sufficient; Counter For Pairs Of Footwear	そく	
727	走	N4	Run	そう	
728	超	N2	Transcend; Super-; Ultra-	ちょう	
729	越	N3	Surpass; Cross Over; Move To; Exceed	えつ/おつ	
730	𤴓	COMP	(bound component)		2
731	定	N3	Determine; Fix; Establish; Decide	てい/じょう	
732	頁	COMP	Page; Leaf	けつ	12
733	題	N4	Topic; Subject	だい	
734	額	N2	Forehead; Tablet; Plaque; Framed Picture	がく	
735	類	N3	Sort; Kind; Variety; Class	るい	
736	頼	N3	Trust; Request	らい	
737	順	N2	Obey; Order; Turn; Right	じゅん	
738	傾	N2	Lean; Incline; Tilt; Trend	けい	
739	頂	N3	Place On The Head; Receive; Top Of Head; Top	ちょう	
740	龴	COMP	(bound component)		15
741	疑	N3	Doubt; Distrust; Be Suspicious; Question	ぎ	
742	勇	N2	Courage; Cheer Up; Be In High Spirits; Bravery	ゆう	
743	甬	COMP	Road With Walls On Both Sides	よう	3
744	通	N4	Traffic; Pass Through; Avenue; Commute	つう/つ	
745	𠄐	COMP	(bound component)		5
746	予	N3	Beforehand; Previous; Myself; I	よ/しゃ	
747	野	N4	Plains; Field; Rustic; Civilian Life	や/しょ	
748	預	N2	Deposit; Custody; Leave With; Entrust To	よ	
749	矛	N1	Halberd; Arms; Festival Float	む/ぼう	2
750	務	N3	Task; Duties	む	
751	柔	N2	Tender; Weakness; Gentleness; Softness	じゅう/にゅう	
752	韋	COMP	Tanned Leather Radical (no. 178)	い	2
753	違	N3	Difference; Differ	い	
754	偉	N3	Admirable; Greatness; Remarkable; Conceited	い	
755	⺌	COMP	(bound component)		3
756	消	N3	Extinguish; Blow Out; Turn Off; Neutralize	しょう	
757	光	N3	Ray; Light	こう	
758	彐	COMP	Snout; Pig's Head Radical (no. 58)	けい	19
759	当	N3	Hit; Right; Appropriate; Himself	とう	
760	候	N3	Climate; Season; Weather; Wait For	こう	
761	巨	N2	Gigantic; Big; Large; Great	きょ	
762	寝	N3	Lie Down; Sleep; Rest; Bed	しん	
763	雪	N3	Snow	せつ	
764	臣	N2	Retainer; Subject	しん/じん	
765	賢	N2	Intelligent; Wise; Wisdom; Cleverness	けん	
766	己	N1	Self	こ/き	4
767	改	N2	Reformation; Change; Modify; Mend	かい	
768	起	N4	Rouse; Wake Up; Get Up	き	
769	巻	N2	Scroll; Volume; Book; Part	かん/けん	
770	⺈	COMP	(bound component)		25
771	急	N4	Hurry; Emergency; Sudden; Steep	きゅう	
772	負	N3	Defeat; Negative; -; Minus	ふ	
773	換	N2	Interchange; Period; Change; Convert	かん	
774	角	N2	Angle; Corner; Square; Horn	かく	
775	解	N3	Unravel; Notes; Key; Explanation	かい/げ	
776	欠	N3	Lack; Gap; Fail; Yawning Radical (no. 76)	けつ/けん	
777	欧	N2	Europe	おう	
778	歌	N4	Song; Sing	か	
779	欲	N3	Longing; Covetousness; Greed; Passion	よく	
780	触	N2	Contact; Touch; Feel; Hit	しょく	
781	勉	N4	Exertion; Endeavour; Encourage; Strive	べん	
782	吹	N3	Blow; Breathe; Puff; Emit	すい	
783	魚	N4	Fish	ぎょ	
784	漁	N2	Fishing; Fishery	ぎょ/りょう	
785	軟	N2	Soft	なん	
786	晩	N3	Nightfall; Night	ばん	
787	冫	COMP	Two-stroke Water Radical Or Ice Radical (no. 15)	ひょう	14
788	次	N3	Next; Order; Sequence	じ/し	
789	資	N3	Assets; Resources; Capital; Funds	し	
790	楽	N4	Music; Comfort; Ease	がく/らく/ごう	
791	弱	N2	Weak; Frail	じゃく	
792	盗	N3	Steal; Rob; Pilfer	とう	
793	兆	N2	Portent; 10**12; Trillion; Sign	ちょう	
794	逃	N3	Escape; Flee; Shirk; Evade	とう	
795	凍	N2	Frozen; Congeal; Refrigerate	とう	
796	氺	COMP	Water Radical Variant (no. 85)	すい	4
797	求	N3	Request; Want; Wish For; Require	きゅう/ぐ	
798	球	N3	Ball; Sphere	きゅう	
799	⺕	COMP	(bound component)		4
800	争	N3	Contend; Dispute; Argue	そう	
801	静	N3	Quiet	せい/じょう	
802	卄	COMP	(bound component)		61
803	備	N3	Equip; Provision; Preparation	び	
804	落	N3	Fall; Drop; Come Down; Village	らく	
805	英	N4	England; English; Hero; Outstanding	えい	
806	若	N3	Young; If; Perhaps; Possibly	じゃく/にゃく/にゃ	
807	満	N3	Full; Fullness; Enough; Satisfy	まん/ばん	
808	花	N4	Flower	か/け	
809	苦	N3	Suffering; Trial; Worry; Hardship	く	
810	薬	N3	Medicine; Chemical; Enamel; Gunpowder	やく	
811	芸	N2	Technique; Art; Craft; Performance	げい/うん	
812	昇	N2	Rise Up	しょう	
813	著	N2	Renowned; Publish; Write; Remarkable	ちょ/ちゃく	
814	夢	N3	Dream; Vision; Illusion	む/ぼう	
815	草	N3	Grass; Weeds; Herbs; Pasture	そう	
816	薄	N2	Dilute; Thin; Weak (tea); Pampas Grass	はく	
817	荷	N2	Baggage; Shoulder-pole Load; Bear (a Burden); Shoulder (a Gun)	か	
818	甘	N2	Sweet; Coax; Pamper; Be Content	かん	
819	期	N3	Period; Time; Date; Term	き/ご	
820	械	N2	Contraption; Fetter; Machine; Instrument	かい	
821	蒸	N2	Steam; Heat; Sultry; Foment	じょう/せい	
822	塔	N2	Pagoda; Tower; Steeple	とう	
823	菓	N2	Candy; Cakes; Fruit	か	
824	开	COMP	Open; Initiate; Begin; Start		5
825	開	N4	Open; Unfold; Unseal	かい	
826	研	N4	Polish; Study Of; Sharpen	けん	
827	形	N3	Shape; Form; Style	けい/ぎょう	
828	瓶	N2	Bottle; Vial; Jar; Jug	びん	
829	癶	COMP	Dotted Tent Radical (no. 105)	はつ	5
830	発	N4	Departure; Discharge; Publish; Emit	はつ/ほつ	
831	祭	N2	Ritual; Offer Prayers; Celebrate; Deify	さい	
832	際	N3	Occasion; Side; Edge; Verge	さい	
833	察	N3	Guess; Presume; Surmise; Judge	さつ	
834	廿	COMP	Twenty	じゅう/にゅう	10
835	世	N4	Generation; World; Society; Public	せい/せ/そう	
836	革	N2	Leather; Skin; Reform; Become Serious	かく	
837	難	N3	Difficult; Impossible; Trouble; Accident	なん	
838	葉	N3	Leaf; Plane; Lobe; Needle	よう	
839	勤	N3	Diligence; Become Employed; Serve	きん/ごん	
840	漢	N4	Sino-; China	かん	
841	靴	N3	Shoes	か	
842	龷	COMP	(bound component)		14
843	共	N3	Together; Both; Neither; All	きょう	
844	供	N3	Submit; Offer; Present; Serve (meal)	きょう/く/くう	
845	暴	N2	Outburst; Rave; Fret; Force	ぼう/ばく	
846	爆	N2	Bomb; Burst Open; Pop; Split	ばく	
847	散	N3	Scatter; Disperse; Spend; Squander	さん	
848	焼	N2	Bake; Burning	しょう	
849	昔	N3	Once Upon A Time; Antiquity; Old Times	せき/しゃく	
850	借	N4	Borrow; Rent	しゃく	
851	黄	N2	Yellow	こう/おう	
852	横	N3	Sideways; Side; Horizontal; Width	おう	
853	巳	N1	Sign Of The Snake Or Serpent; 9-11am; Sixth Sign Of Chinese Zodiac	し	2
854	選	N3	Elect; Select; Choose; Prefer	せん	
855	港	N3	Harbor	こう	
856	丰	COMP	Abundant; Lush; Bountiful; Plenty	ほう/ふ/ふう	4
857	害	N3	Harm; Injury	がい	
858	割	N3	Proportion; Comparatively; Divide; Cut	かつ	
859	拝	N2	Worship; Adore; Pray To	はい	
860	酉	N1	West; Bird; Sign Of The Bird; 5-7pm	ゆう	3
861	配	N3	Distribute; Spouse; Exile; Rationing	はい	
862	酒	N3	Sake; Alcohol	しゅ	
863	尊	N2	Revered; Valuable; Precious; Noble	そん	
864	畐	COMP	To Fill; Roll Of Cloth	ふく/ひょく/ひき	4
865	副	N2	Vice-; Assistant; Aide; Duplicate	ふく	
866	幅	N2	Hanging Scroll; Width	ふく	
867	富	N3	Wealth; Enrich; Abundant	ふ/ふう	
868	⺮	COMP	(bound component)		12
869	算	N2	Calculate; Divining; Number; Abacus	さん	
870	答	N4	Solution; Answer	とう	
871	管	N2	Pipe; Tube; Wind Instrument; Drunken Talk	かん	
872	等	N3	Etc.; And So Forth; Class (first); Quality	とう	
873	簡	N2	Simplicity; Brevity	かん/けん	
874	筆	N2	Writing Brush; Writing; Painting Brush; Handwriting	ひつ	
875	箱	N3	Box; Chest; Case; Bin	そう	
876	筒	N2	Cylinder; Pipe; Tube; Gun Barrel	とう	
877	符	N2	Token; Sign; Mark; Tally	ふ	
878	术	COMP	(bound component)		2
879	述	N2	Mention; State; Speak; Relate	じゅつ	
880	戋	COMP	(bound component)		2
881	残	N3	Remainder; Leftover; Balance	ざん/さん	
882	浅	N2	Shallow; Superficial; Frivolous; Wretched	せん	
883	疒	COMP	Trailing Sickness; Sick Radical (no. 104)	だく/にゃく/そう	4
884	病	N4	Ill; Sick	びょう/へい	
885	療	N2	Heal; Cure	りょう	
886	痛	N3	Pain; Hurt; Damage; Bruise	つう	
887	疲	N3	Exhausted; Tire; Weary	ひ	
888	彳	COMP	Stop; Linger; Loiter; Going Man Radical (no. 60)	てき	11
889	待	N4	Wait; Depend On	たい	
890	彼	N3	He; That; The	ひ	
891	徒	N3	On Foot; Junior; Emptiness; Vanity	と	
892	律	N2	Rhythm; Law; Regulation; Gauge	りつ/りち/れつ	
893	亍	COMP	To Take Small Steps; Korean Place Name	ちょく	2
894	行	N5	Going; Journey; Carry Out; Conduct	こう/ぎょう/あん	
895	術	N3	Art; Technique; Skill; Means	じゅつ	
896	幺	COMP	Short Thread Radical (no. 52)	よう	8
897	後	N5	Behind; Back; Later	ご/こう	
898	幼	N2	Infancy; Childhood	よう	
899	糸	N2	Thread	し	
900	畜	N2	Livestock; Domestic Fowl And Animals	ちく	
901	旦	N1	Daybreak; Dawn; Morning	たん/だん	3
902	得	N3	Gain; Get; Find; Earn	とく	
903	担	N2	Shouldering; Carry; Raise; Bear	たん	
904	系	N1	Lineage; System	けい	2
905	係	N3	Person In Charge; Connection; Duty; Concern Oneself	けい	
906	孫	N2	Grandchild; Descendants	そん	
907	艮	COMP	Northeast (oriental Zodiac); Stopping; Good Radical (no. 138)	こん/ごん	13
908	銀	N4	Silver	ぎん	
909	限	N3	Limit; Restrict; To Best Of Ability	げん	
910	退	N3	Retreat; Withdraw; Retire; Resign	たい	
911	良	N3	Good; Pleasing; Skilled	りょう	
912	根	N2	Root; Radical; Head (pimple)	こん	
913	娘	N3	Daughter; Girl	じょう	
914	丨	COMP	Number One; Line; Rod Radical (no. 2)	こん/し/じょ	8
915	長	N5	Long; Leader; Superior; Senior	ちょう	
916	丶	COMP	Dot; Tick Or Dot Radical (no. 3)	ちゅ	5
917	以	N4	By Means Of; Because; In View Of; Compared With	い	
918	似	N3	Becoming; Resemble; Counterfeit; Imitate	じ	
919	丿	COMP	Katakana No Radical (no. 4)	へつ	4
920	済	N3	Settle (debt, Etc.); Relieve (burden); Finish; Come To An End	さい/せい	
921	面	N3	Mask; Face; Features; Surface	めん/べん	
922	介	N2	Jammed In; Shellfish; Mediate; Concern Oneself With	かい	
923	界	N4	World; Boundary	かい	
924	肰	COMP	(bound component)		2
925	然	N3	Sort Of Thing; So; If So; In That Case	ぜん/ねん	
926	燃	N2	Burn; Blaze; Glow	ねん	
927	㑒	COMP	(bound component)		2
928	験	N4	Verification; Effect; Testing	けん/げん	
929	険	N3	Precipitous; Inaccessible Place; Impregnable Position; Steep Place	けん	
930	𠂤	COMP	To Store Up; To Pile Up	たい	2
931	追	N3	Chase; Drive Away; Follow; Pursue	つい	
932	師	N3	Expert; Teacher; Master; Model	し	
933	豆	N1	Beans; Pea; Midget	とう/ず	4
934	頭	N3	Head; Counter For Large Animals	とう/ず/と	
935	登	N3	Ascend; Climb Up	とう/と/どう	
936	短	N2	Short; Brevity; Fault; Defect	たん	
937	豊	N2	Bountiful; Excellent; Rich	ほう/ぶ	
938	复	COMP	Return; Repeat; Repeatedly		3
939	復	N2	Restore; Return To; Revert; Resume	ふく	
940	複	N2	Duplicate; Double; Compound; Multiple	ふく	
941	腹	N3	Abdomen; Belly; Stomach	ふく	
942	凶	N1	Villain; Evil; Bad Luck; Disaster	きょう	3
943	脳	N2	Brain; Memory	のう/どう	
944	悩	N2	Trouble; Worry; In Pain; Distress	のう	
945	胸	N2	Bosom; Breast; Chest; Heart	きょう	
946	卩	COMP	Seal Radical (no. 26)	せつ	4
947	命	N3	Fate; Command; Decree; Destiny	めい/みょう	
948	御	N3	Honorable; Manipulate; Govern	ぎょ/ご	
949	𠬝	COMP	(bound component)		2
950	報	N3	Report; News; Reward; Retribution	ほう	
951	服	N4	Clothing; Admit; Obey; Discharge	ふく	
952	帚	COMP	Broom	そう/しゅう	3
953	帰	N4	Homecoming; Arrive At; Lead To; Result In	き	
954	婦	N3	Lady; Woman; Wife; Bride	ふ	
955	掃	N2	Sweep; Brush	そう/しゅ	
956	⻊	COMP	(bound component)		3
957	路	N3	Path; Route; Road; Distance	ろ/る	
958	跡	N2	Tracks; Mark; Print; Impression	せき	
959	踊	N2	Jump; Dance; Leap; Skip	よう	
960	⺀	COMP	(bound component)		6
961	図	N4	Map; Drawing; Plan; Extraordinary	ず/と	
962	冬	N4	Winter	とう	
963	終	N4	End; Finish	しゅう	
964	斗	N1	Big Dipper; Ten Sho (vol); Sake Dipper; Dots And Cross Radical (no. 68)	と/とう	2
965	料	N4	Fee; Materials	りょう	
966	科	N3	Department; Course; Section	か	
967	录	COMP	(bound component)		2
968	録	N2	Record	ろく	
969	緑	N2	Green	りょく/ろく	
970	几	COMP	Table; Table Enclosure; Table Or Windy Radical (no. 16)	き	15
971	処	N3	Dispose; Manage; Deal With; Sentence	しょ	
972	風	N4	Wind; Air; Style; Manner	ふう/ふ	
973	航	N2	Navigate; Sail; Cruise; Fly	こう	
974	船	N3	Ship; Boat	せん	
975	肌	N2	Texture; Skin; Body; Grain	き	
976	机	N2	Desk; Table	き	
977	殳	COMP	Pike; Windy-again Radical (no. 79)	しゅ	7
978	設	N2	Establishment; Provision; Prepare	せつ	
979	投	N3	Throw; Discard; Abandon; Launch Into	とう	
980	役	N3	Duty; War; Campaign; Drafted Labor	やく/えき	
981	段	N3	Grade; Steps; Stairs	だん/たん	
982	般	N2	Carrier; Carry; All; General	はん	
983	殿	N2	Mr.; Hall; Mansion; Palace	でん/てん	
984	夭	COMP	Early Death; Calamity	よう/おう/か	2
985	橋	N2	Bridge	きょう	
986	笑	N3	Laugh	しょう	
987	厂	COMP	Wild Goose; Trailing Cliff Radical (no. 27)	かん	31
988	岸	N2	Beach	がん	
989	歴	N2	Curriculum; Continuation; Passage Of Time	れき/れっき	
990	圧	N2	Pressure; Push; Overwhelm; Oppress	あつ/えん/おう	
991	厚	N2	Thick; Heavy; Rich; Kind	こう	
992	广	COMP	Dotted Cliff Radical (no. 53)	げん	14
993	度	N4	Degrees; Occurrence; Time; Counter For Occurrences	ど/と/たく	
994	府	N2	Borough; Urban Prefecture; Govt Office; Representative Body	ふ	
995	広	N4	Wide; Broad; Spacious	こう	
996	席	N3	Seat; Mat; Occasion; Place	せき	
997	店	N4	Store; Shop	てん	
998	渡	N3	Transit; Ford; Ferry; Cross	と	
999	座	N3	Squat; Seat; Cushion; Gathering	ざ	
1000	庁	N2	Government Office	ちょう/てい	
1001	庭	N3	Courtyard; Garden; Yard	てい	
1002	庫	N2	Warehouse; Storehouse	こ/く	
1003	床	N2	Bed; Counter For Beds; Floor; Padding	しょう	
1004	鉱	N2	Mineral; Ore	こう	
1005	磨	N2	Grind; Polish; Scour; Improve	ま	
1006	产	COMP	(bound component)		2
1007	産	N3	Products; Bear; Give Birth; Yield	さん	
1008	顔	N3	Face; Expression	がん	
1009	𤽄	COMP	(bound component)		2
1010	原	N3	Meadow; Original; Primitive; Field	げん	
1011	願	N3	Petition; Request; Vow; Wish	がん	
1012	戊	COMP	5th Calendar Sign	ぼ/ぼう	5
1013	歳	N3	Year-end; Age; Occasion; Opportunity	さい/せい	
1014	蔵	N2	Storehouse; Hide; Own; Have	ぞう/そう	
1015	臓	N2	Entrails; Viscera; Bowels	ぞう	
1016	咸	COMP	All; Same	かん/げん	2
1017	感	N3	Emotion; Feeling; Sensation	かん	
1018	減	N2	Dwindle; Decrease; Reduce; Decline	げん	
1019	辰	N1	Sign Of The Dragon; 7-9am; Fifth Sign Of Chinese Zodiac; Shin Dragon Radical (no. 161)	しん/じん	3
